# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	228098
#@/user_id	3eb7fba5-02d4-4760-8547-f0decde08619
a 	啊	c=692 d=1.71343 t=228098
pin pai 	品牌	c=3 d=0.00253053 t=228098
pin tai 	貧胎	c=2 d=2.62613e-06 t=228098
pin xie 	拼寫	c=1 d=2.26657e-09 t=228098
pin xie 	貧血	c=1 d=2.24401e-09 t=228098
pin zhi 	品質	c=1 d=1.42419e-13 t=228098
ping 	屏	c=13 d=0.0413782 t=228098
ping 	平	c=0 d=5.92563e-22 t=228098
ping 	萍	c=1 d=1.11348e-88 t=228098
ping a ti 	平阿嚏	c=2 d=1.56764e-20 t=228098
ping ai 	平愛	c=1 d=6.32641e-85 t=228098
ping chang 	平常	c=1 d=5.71404e-05 t=228098
ping ci 	憑此	c=1 d=0.0065062 t=228098
ping deng 	平等	c=1 d=3.97829e-10 t=228098
ping fang 	平方	c=1 d=7.56427e-11 t=228098
ping fen 	評分	c=1 d=1.04152e-08 t=228098
ping gu 	評估	c=13 d=0.000312783 t=228098
ping guo 	蘋果	c=31 d=0.212672 t=228098
ping guo fu wu qi 	蘋果服務器	c=1 d=0.0837432 t=228098
ping heng 	平衡	c=1 d=0.390628 t=228098
ping heng dian 	平衡點	c=1 d=0.000124028 t=228098
ping heng xing 	平衡性	c=1 d=1 t=227112
ping hua 	平滑	c=4 d=1.13304e-06 t=228098
ping ji 	評級	c=1 d=1.16679e-50 t=228098
ping jia 	評價	c=1 d=1.60841e-91 t=228098
ping jing 	瓶頸	c=3 d=0.186374 t=228098
ping ju 	平局	c=1 d=4.66399e-116 t=228098
ping ju 	憑據	c=1 d=4.68737e-116 t=228098
ping jun 	平均	c=6 d=0.00979195 t=228098
ping jun zhi 	平均值	c=6 d=0.0166648 t=228098
ping lu 	平路	c=1 d=2.86106e-14 t=228098
ping lun 	評論	c=5 d=2.8754e-14 t=228098
ping lun nv 	評論女	c=1 d=2.81196e-75 t=228098
ping mu 	屏幕	c=15 d=0.640824 t=228098
ping mu shang 	屏幕上	c=1 d=0.806541 t=228098
ping ping an an 	平平安安	c=1 d=1.36079e-36 t=228098
ping sha 	憑啥	c=1 d=2.48704e-101 t=228098
ping she 	平射	c=1 d=3.05155e-37 t=228098
ping shen 	評審	c=4 d=3.52962e-14 t=228098
ping shi 	平時	c=35 d=0.404542 t=228098
ping shou 	平手	c=1 d=1.58047e-32 t=228098
ping tai 	平臺	c=225 d=1.23596 t=228098
ping tai ceng 	平臺層	c=1 d=5.20964e-06 t=228098
ping tai le 	平臺了	c=1 d=6.87874e-11 t=228098
ping ti a 	平提啊	c=2 d=4.2111e-32 t=228098
ping wei 	評委	c=3 d=0.128735 t=228098
ping wen 	平穩	c=3 d=3.81502e-17 t=228098
ping yi 	平移	c=1 d=1.65063e-43 t=228098
po 	破	c=7 d=0.00585769 t=228098
po dao 	潑到	c=2 d=0.802519 t=228098
po hua 	破話	c=1 d=5.43148e-26 t=228098
po huai 	破壞	c=1 d=5.45871e-26 t=228098
po jie 	破解	c=3 d=1.89745e-06 t=228098
po ju 	破局	c=1 d=1 t=225748
po niang 	婆娘	c=1 d=8.37948e-68 t=228098
po qian 	破慳	c=1 d=2.42151e-81 t=228098
po se 	珀色	c=1 d=1.0769e-48 t=228098
po sui 	破碎	c=2 d=1.29112e-06 t=228098
po sui hai tan 	破碎海灘	c=1 d=3.1402e-21 t=228098
po sui qun dao 	破碎羣島	c=2 d=8.27381e-07 t=228098
po wei 	頗爲	c=1 d=5.02227e-75 t=228098
pou tong 	剖同	c=1 d=4.25269e-30 t=228098
pu 	撲	c=2 d=6.20596e-06 t=228098
pu 	普	c=1 d=3.78362e-08 t=228098
pu 	鋪	c=0 d=6.99341e-30 t=228098
pu bian 	普遍	c=1 d=6.62345e-66 t=228098
pu bu 	瀑布	c=0 d=4.11049e-72 t=228098
pu bu liu 	瀑布流	c=4 d=7.73311e-06 t=228098
pu dao 	撲到	c=3 d=4.29704e-05 t=228098
pu gong ying 	蒲公英	c=2 d=1.4745e-68 t=228098
pu pu 	僕僕	c=1 d=2.2245e-112 t=228098
pu ruo xi tong 	普若系統	c=1 d=3.83272e-42 t=228098
pu tong 	普通	c=29 d=0.472367 t=228098
pu tong pu tong 	撲通撲通	c=1 d=1.65457e-71 t=228098
pu tong ren 	普通人	c=2 d=1.50938e-20 t=228098
pu tong ying 	普通應	c=1 d=6.44543e-69 t=228098
pu zai 	鋪在	c=3 d=0.00349997 t=228098
qi 	七	c=3 d=1.85571e-09 t=228098
qi 	其	c=1 d=1.379e-16 t=228098
qi 	器	c=16 d=0.22328 t=228098
qi 	契	c=0 d=1.48025e-27 t=228098
qi 	旗	c=6 d=6.47705e-09 t=228098
qi 	期	c=16 d=0.257947 t=228098
qi 	氣	c=4 d=1.48615e-14 t=228098
qi 	琦	c=1 d=9.78968e-45 t=228098
qi 	起	c=17 d=0.0384382 t=228098
qi 	騎	c=2 d=5.51076e-20 t=228098
qi 	齊	c=1 d=0.0183156 t=228098
qi ba 	七八	c=0 d=6.49893e-79 t=228098
qi ba jin 	七八斤	c=1 d=6.5315e-78 t=228098
qi bu 	起步	c=2 d=2.30082e-10 t=228098
qi bu lai 	起不來	c=0 d=6.82168e-61 t=228098
qi bu shi 	豈不是	c=13 d=0.000567086 t=228098
qi cai 	器材	c=0 d=0.000275318 t=228098
qi cai 	奇才	c=1 d=6.40456e-53 t=228098
qi che 	汽車	c=4 d=1.24109e-41 t=228098
qi che 	騎車	c=6 d=1.57025e-06 t=228098
qi chuang 	起牀	c=1 d=1 t=217906
qi ci 	其次	c=1 d=0.000665481 t=228098
qi dai 	期待	c=5 d=1.19032e-12 t=228098
qi dao 	祈禱	c=3 d=0.0031042 t=228098
qi dao 	起到	c=1 d=8.03475e-15 t=228098
qi dong 	啓動	c=87 d=0.99005 t=228098
qi dong 	起動	c=1 d=1.58883e-94 t=228098
qi duan 	氣短	c=1 d=9.2715e-111 t=228098
qi en 	奇恩	c=3 d=6.83169e-48 t=228098
qi fa 	啓發	c=2 d=1.09284e-15 t=228098
qi fei 	起飛	c=1 d=3.94688e-05 t=228098
qi fen 	氣氛	c=3 d=0.339596 t=228098
qi fu 	欺負	c=1 d=1 t=210916
qi fu 	起伏	c=2 d=7.01867e-42 t=228098
qi guai 	奇怪	c=62 d=0.923319 t=228098
qi hou 	氣候	c=2 d=0.0898759 t=228098
qi ji 	契機	c=1 d=3.35805e-16 t=228098
qi jia 	起家	c=2 d=1.09191e-05 t=228098
qi jian 	期間	c=23 d=1.09738e-05 t=228098
qi jian 	起見	c=1 d=0.154896 t=228098
qi ke fu 	契柯夫	c=1 d=9.6689e-46 t=228098
qi lai 	起來	c=58 d=0.092089 t=228098
qi lai le 	起來了	c=1 d=3.52928e-101 t=228098
qi ma 	起碼	c=17 d=0.0204453 t=228098
qi ma 	騎馬	c=1 d=9.60922e-32 t=228098
qi meng 	啓蒙	c=1 d=1.14388e-52 t=228098
qi miao 	奇妙	c=2 d=1.0095e-23 t=228098
qi ming 	起名	c=4 d=2.54895e-08 t=228098
qi na 	緝拿	c=0 d=4.25242e-89 t=228098
qi na bao 	緝拿報	c=1 d=4.27374e-88 t=228098
qi niu 	七牛	c=2 d=1.13712e-86 t=228098
qi pa 	奇葩	c=10 d=2.26579e-05 t=228098
qi pan 	期盼	c=1 d=0.00311976 t=228098
qi pan 	棋盤	c=1 d=3.16411e-22 t=228098
qi pao 	氣泡	c=17 d=3.72241e-59 t=228098
qi quan 	期權	c=2 d=1.85508e-05 t=228098
qi quan 	齊全	c=4 d=0.327915 t=228098
qi ru 	欺辱	c=1 d=2.19047e-19 t=228098
qi shen 	起身	c=1 d=1 t=209951
qi shi 	其實	c=80 d=0.772965 t=228098
qi si 	氣死	c=5 d=4.29161e-15 t=228098
qi ta 	其他	c=208 d=0.900334 t=228098
qi ta mei 	其他沒	c=1 d=1.77949e-45 t=228098
qi ta ren 	其他人	c=8 d=0.153355 t=228098
qi tou 	起頭	c=0 d=1.42565e-26 t=228098
qi tu 	企圖	c=1 d=0.000542133 t=228098
qi wang 	期望	c=8 d=9.21203e-06 t=228098
qi wang shi 	期望是	c=1 d=2.68823e-75 t=228098
qi xia 	旗下	c=1 d=3.1882e-23 t=228098
qi ye 	企業	c=45 d=0.310367 t=228098
qi ye ban 	企業版	c=6 d=0.214034 t=228098
qi ye bao 	企業包	c=1 d=0.000645813 t=228098
qi yi 	奇異	c=1 d=3.18691e-77 t=228098
qi yu 	其餘	c=1 d=3.19136e-64 t=228098
qi yu 	奇遇	c=1 d=3.17544e-64 t=228098
qi zha 	氣炸	c=1 d=5.18542e-10 t=228098
qi zhe 	七折	c=1 d=0.0259911 t=228098
qi zhi 	旗幟	c=1 d=0.000115643 t=228098
qi zhi 	氣質	c=1 d=1.81174e-21 t=228098
qi zhong 	其中	c=37 d=0.139457 t=228098
qi zhong 	期中	c=1 d=5.3921e-58 t=228098
qi zi 	妻子	c=1 d=0.00485578 t=228098
qia 	卡	c=1 d=4.06392e-84 t=228098
qia da 	卡達	c=1 d=3.07907e-25 t=228098
qia dang 	恰當	c=3 d=3.14127e-25 t=228098
qia hao 	卡號	c=0 d=0.1 t=222988
qia li 	卡里	c=0 d=9.14524e-39 t=228098
qia men 	卡門	c=1 d=1 t=213359
qia si 	掐死	c=1 d=5.46539e-11 t=228098
qian 	倩	c=1 d=3.44694e-88 t=228098
qian 	前	c=45 d=0.970446 t=228098
qian 	淺	c=2 d=5.12493e-19 t=228098
qian 	簽	c=2 d=0.0963276 t=228098
qian 	錢	c=30 d=0.97531 t=228098
qian bao 	錢包	c=2 d=2.78511e-21 t=228098
qian bi 	鉛筆	c=5 d=4.43883e-62 t=228098
qian bi 	錢幣	c=1 d=9.13065e-78 t=228098
qian bi dao 	鉛筆刀	c=1 d=1 t=199548
qian bu gou 	錢不夠	c=1 d=0.00283702 t=228098
qian che 	牽扯	c=1 d=4.60502e-84 t=228098
qian dan 	簽單	c=1 d=0.00229965 t=228098
qian dao 	簽到	c=1 d=6.5315e-78 t=228098
qian ding 	簽訂	c=1 d=3.05268e-12 t=228098
qian du 	遷都	c=1 d=1.47849e-12 t=228098
qian du a 	前都啊	c=3 d=6.12835e-05 t=228098
qian duan 	前端	c=81 d=0.0602062 t=228098
qian fu 	潛伏	c=1 d=3.74725e-12 t=228098
qian hou 	前後	c=6 d=0.00575402 t=228098
qian hou duan 	前後端	c=6 d=0.0575558 t=228098
qian hou tian 	前後天	c=1 d=1 t=215245
qian ji 	前幾	c=0 d=5.16466e-52 t=228098
qian ji hang 	前幾行	c=1 d=5.19055e-51 t=228098
qian ji tian 	前幾天	c=7 d=8.75073e-16 t=228098
qian jin 	前進	c=1 d=1.19425e-59 t=228098
qian jing 	前景	c=4 d=3.59201e-59 t=228098
qian jing ceng 	前景層	c=2 d=8.90211e-61 t=228098
qian jing se 	前景色	c=2 d=2.58388e-60 t=228098
qian ku long 	錢窟窿	c=1 d=0.0150707 t=228098
qian li 	潛力	c=1 d=3.01451e-11 t=228098
qian liang ci 	前兩次	c=1 d=1 t=205919
qian liang nian 	前兩年	c=1 d=2.22547e-29 t=228098
qian liang tian 	前兩天	c=2 d=1 t=216072
qian mian 	前面	c=31 d=0.509156 t=228098
qian ming 	簽名	c=18 d=0.00283702 t=228098
qian qi 	前期	c=9 d=1.9854e-39 t=228098
qian que 	欠缺	c=2 d=1.05067e-52 t=228098
qian ren 	千人	c=0 d=1.96784e-16 t=228098
qian ren qian mian 	千人前面	c=1 d=9.93796e-16 t=228098
qian ren qian ming 	千人簽名	c=1 d=9.83907e-16 t=228098
qian ru 	嵌入	c=3 d=0.0342181 t=228098
qian san ge 	前三個	c=1 d=1.2217e-91 t=228098
qian shu 	簽署	c=1 d=0.0277367 t=228098
qian tai 	前臺	c=8 d=0.554327 t=228098
qian tai ci 	潛臺詞	c=1 d=3.2577e-12 t=228098
qian tao 	嵌套	c=4 d=0.976093 t=228098
qian tao di yu 	嵌套地獄	c=1 d=1 t=207938
qian ti 	前提	c=10 d=0.203926 t=228098
qian tian 	前天	c=3 d=0.240508 t=228098
qian ting 	前廳	c=2 d=2.8857e-05 t=228098
qian ting 	潛艇	c=1 d=7.54217e-06 t=228098
qian tuo 	欠妥	c=1 d=1.84057e-89 t=228098
qian wan 	千萬	c=7 d=0.105928 t=228098
qian wan bie 	千萬別	c=1 d=2.42522e-99 t=228098
qian wang 	前往	c=1 d=0.346456 t=228098
qian wen 	倩文	c=7 d=6.51173e-23 t=228098
qian xi 	前夕	c=1 d=1.78628e-31 t=228098
qian xia 	簽下	c=1 d=4.76287e-10 t=228098
qian xian 	前嫌	c=1 d=6.2123e-18 t=228098
qian xian 	前線	c=2 d=2.48601e-08 t=228098
qian xing 	潛行	c=0 d=3.80222e-96 t=228098
qian xing zhe 	潛行者	c=1 d=3.82127e-95 t=228098
qian xu 	謙虛	c=6 d=0.0526021 t=228098
qian xun 	謙遜	c=1 d=1 t=226376
qian yan 	千言	c=1 d=7.53039e-18 t=228098
qian yi 	遷移	c=77 d=1.45198e-05 t=228098
qian yi dao 	遷移到	c=1 d=7.97268e-12 t=228098
qian yi wan 	遷移完	c=1 d=6.15428e-84 t=228098
qian zai 	潛在	c=6 d=0.0689068 t=228098
qian zhao 	前兆	c=1 d=3.8136e-42 t=228098
qian zhe 	前者	c=1 d=1.17327e-27 t=228098
qian zhen 	前鎮	c=1 d=1 t=217004
qian zhen zi 	前陣子	c=9 d=0.101792 t=228098
qian zhen zi ni 	前陣子你	c=1 d=1.05324e-22 t=228098
qian zhi 	前置	c=9 d=9.09683e-05 t=228098
qian zhui 	前綴	c=24 d=1.13739e-09 t=228098
qian zui 	愆罪	c=1 d=4.93556e-76 t=228098
qiang 	強	c=4 d=4.79914e-11 t=228098
qiang 	搶	c=4 d=5.35409e-63 t=228098
qiang 	牆	c=7 d=0.0169922 t=228098
qiang bi 	牆壁	c=4 d=4.77707e-08 t=228098
qiang bu dao 	搶不到	c=1 d=5.96306e-95 t=228098
qiang da 	強大	c=6 d=2.53537e-05 t=228098
qiang dao 	搶到	c=1 d=4.96537e-88 t=228098
qiang ding 	搶定	c=1 d=4.12701e-30 t=228098
qiang du 	強度	c=1 d=2.51485e-26 t=228098
qiang duo 	強多	c=1 d=2.23085e-28 t=228098
qiang duo 	搶奪	c=2 d=0.0178634 t=228098
qiang gou 	搶購	c=1 d=3.80906e-28 t=228098
qiang han 	強悍	c=1 d=2.19539e-16 t=228098
qiang hong bao 	強紅包	c=2 d=2.46112e-66 t=228098
qiang hua 	強化	c=1 d=1 t=207065
qiang ji 	槍擊	c=2 d=1.66518e-21 t=228098
qiang lie 	強烈	c=5 d=0.0095616 t=228098
qiang piao 	搶票	c=1 d=1.63282e-33 t=228098
qiang po 	強迫	c=1 d=3.518e-34 t=228098
qiang qiu 	強求	c=1 d=4.79327e-27 t=228098
qiang shang 	牆上	c=2 d=1.03523e-25 t=228098
qiang shou huo 	搶手貨	c=1 d=1 t=203231
qiang zhe 	搶着	c=1 d=8.7458e-42 t=228098
qiang zhe yao 	搶着要	c=1 d=1 t=203238
qiang zhi 	強制	c=10 d=0.0327124 t=228098
qiang zhuan 	強轉	c=1 d=3.81113e-05 t=228098
qiang zhuang 	強壯	c=2 d=1.39889e-08 t=228098
qiao 	喬	c=1 d=4.75462e-19 t=228098
qiao 	敲	c=5 d=0.000499159 t=228098
qiao 	橋	c=1 d=3.59909e-08 t=228098
qiao 	瞧	c=2 d=1.08366e-05 t=228098
qiao da 	敲打	c=5 d=1.2635e-75 t=228098
qiao dai ma 	敲代碼	c=2 d=1.83375e-16 t=228098
qiao ding 	敲定	c=4 d=1.01703e-07 t=228098
qiao hei ban 	敲黑板	c=1 d=0.00501661 t=228098
qiao ji 	敲擊	c=9 d=0.0816756 t=228098
qiao ke li 	巧克力	c=1 d=6.43666e-53 t=228098
qiao men 	敲門	c=4 d=0.000239969 t=228098
qiao men 	竅門	c=3 d=9.20146e-27 t=228098
qiao qi 	敲起	c=0 d=3.01399e-10 t=228098
qiao qi le 	敲起了	c=1 d=3.0291e-09 t=228098
qiao qiao 	瞧瞧	c=3 d=1.89545e-23 t=228098
qiao ru 	敲入	c=1 d=5.86168e-11 t=228098
qiao yi xia 	瞧一下	c=1 d=0.000108909 t=228098
qiao zhe 	敲着	c=1 d=5.5916e-103 t=228098
qiao zhe 	瞧着	c=1 d=5.56371e-103 t=228098
qie 	且	c=58 d=0.318224 t=228098
qie 	切	c=24 d=1.85851 t=228098
qie bu dong 	切不動	c=1 d=1 t=227061
qie cheng 	切成	c=3 d=7.53039e-17 t=228098
qie chu 	切出	c=1 d=1.53659e-83 t=228098
qie chu 	切除	c=2 d=3.08873e-83 t=228098
qie chu qu 	切出去	c=3 d=4.03141e-19 t=228098
qie dao 	切到	c=2 d=1.75395e-22 t=228098
qie duan 	切斷	c=1 d=2.81837e-43 t=228098
qie duan huan 	切斷換	c=1 d=4.78547e-95 t=228098
qie fen 	切分	c=1 d=4.21553e-15 t=228098
qie guo 	切過	c=1 d=1.82884e-102 t=228098
qie guo 	竊國	c=1 d=1.81064e-102 t=228098
qie guo qu 	切過去	c=2 d=0.00193045 t=228098
qie hou tai 	切後臺	c=5 d=2.84533e-08 t=228098
qie hua 	切花	c=11 d=0.865022 t=228098
qie huan 	切換	c=150 d=1.78294 t=228098
qie huan cheng 	切換成	c=1 d=4.00546e-90 t=228098
qie huan dao 	切換到	c=1 d=8.03339e-13 t=228098
qie huan dao zhi 	切換到職	c=1 d=1 t=223812
qie huan le 	切換了	c=1 d=2.96811e-05 t=228098
qie hui 	切回	c=16 d=0.0146986 t=228098
qie hui lai 	切回來	c=6 d=1.81989e-15 t=228098
qie ke 	切克	c=14 d=4.60062e-14 t=228098
qie lan 	伽藍	c=1 d=9.37546e-07 t=228098
qie mi 	竊密	c=0 d=9.80104e-89 t=228098
qie mi a 	竊密啊	c=1 d=9.85016e-88 t=228098
qie mian 	切面	c=39 d=0.837495 t=228098
qie pian 	切片	c=1 d=2.68886e-19 t=228098
qie ru 	切入	c=22 d=0.551563 t=228098
qie ye 	伽倻	c=4 d=0.0977834 t=228098
qie yong qie zhen xi 	且用且珍惜	c=1 d=1.34656e-30 t=228098
qin 	勤	c=2 d=7.68644e-23 t=228098
qin 	琴	c=4 d=0.000383949 t=228098
qin 	親	c=3 d=6.95497e-23 t=228098
qin ai 	親愛	c=2 d=0.000134358 t=228098
qin ai de 	親愛的	c=1 d=4.61945e-62 t=228098
qin fan 	侵犯	c=1 d=4.04955e-13 t=228098
qin jian 	琴鍵	c=1 d=1.67638e-78 t=228098
qin kuai 	勤快	c=0 d=0.1 t=216206
qin kuai ge 	勤快個	c=1 d=1 t=216207
qin qi 	親戚	c=1 d=2.35651e-55 t=228098
qin quan 	侵權	c=1 d=1.63766e-09 t=228098
qin ru 	侵入	c=1 d=4.39402e-91 t=228098
qin ru xing 	侵入性	c=1 d=5.17522e-75 t=228098
qin zi 	親自	c=5 d=0.278037 t=228098
qing 	清	c=3 d=1.09358e-23 t=228098
qing 	請	c=36 d=0.232236 t=228098
qing 	輕	c=0 d=0.0398519 t=228098
qing 	青	c=1 d=0.0138427 t=228098
qing ai 	情愛	c=1 d=1 t=226314
qing an 	請按	c=0 d=7.57869e-05 t=228098
qing an bu 	請按不	c=1 d=0.000761668 t=228098
qing cai 	青菜	c=4 d=0.044601 t=228098
qing chu 	清楚	c=60 d=0.874988 t=228098
qing chu 	清除	c=17 d=0.119433 t=228098
qing chu ni men 	清楚你們	c=1 d=4.07041e-44 t=228098
qing dan 	清單	c=16 d=0.0100518 t=228098
qing dao fu 	清道夫	c=2 d=1.11491e-15 t=228098
qing feng ming yue 	清風明月	c=1 d=3.43559e-108 t=228098
qing ge 	請個	c=1 d=7.70371e-21 t=228098
qing ge jia 	請個假	c=1 d=7.74232e-20 t=228098
qing hua 	清華	c=1 d=7.09524e-52 t=228098
qing hua da xue 	清華大學	c=1 d=6.36482e-68 t=228098
qing huan cu 	輕還粗	c=1 d=0.400517 t=228098
qing hui lai 	請回來	c=1 d=0.127454 t=228098
qing jia 	請假	c=9 d=0.378212 t=228098
qing jian 	請見	c=1 d=1 t=223257
qing jiao 	請教	c=16 d=1.80522e-08 t=228098
qing jie 	情節	c=1 d=3.25693e-68 t=228098
qing jing 	情景	c=6 d=3.09082e-11 t=228098
qing kan 	請看	c=1 d=7.458e-21 t=228098
qing ke 	請客	c=2 d=3.79264e-36 t=228098
qing kong 	清空	c=8 d=3.84145e-10 t=228098
qing kuang 	情況	c=331 d=1.08989 t=228098
qing kuang xia 	情況下	c=1 d=3.39942e-13 t=228098
qing li 	清理	c=64 d=0.583731 t=228098
qing li 	輕利	c=1 d=5.08138e-95 t=228098
qing li me 	清理麼	c=1 d=0.121238 t=228098
qing liang 	輕量	c=4 d=1.32723e-07 t=228098
qing liang ji 	輕量級	c=1 d=2.17614e-30 t=228098
qing ming 	清明	c=5 d=1.74012e-17 t=228098
qing ming jie 	清明節	c=3 d=9.96765e-48 t=228098
qing ni 	請你	c=2 d=6.39693e-39 t=228098
qing nian 	青年	c=1 d=1.45573e-06 t=228098
qing qi 	清漆	c=1 d=1 t=203554
qing qing 	輕輕	c=1 d=1 t=198562
qing qiu 	請求	c=187 d=0.225424 t=228098
qing shu ru 	請輸入	c=1 d=9.61904e-44 t=228098
qing shuang 	清爽	c=0 d=2.30827e-48 t=228098
qing shuang dian 	清爽點	c=1 d=2.31984e-47 t=228098
qing shui 	清水	c=3 d=6.96986e-14 t=228098
qing song 	輕鬆	c=5 d=1.79601e-64 t=228098
qing song dian 	輕鬆點	c=1 d=1 t=196879
qing wen 	請問	c=11 d=0.000165096 t=228098
qing xi 	清晰	c=17 d=0.509156 t=228098
qing xi 	清洗	c=2 d=3.21391e-88 t=228098
qing xi du 	清晰度	c=2 d=0.557106 t=228098
qing xiang 	傾向	c=6 d=4.15998e-06 t=228098
qing xiang yu 	傾向於	c=3 d=4.34022e-05 t=228098
qing xin 	輕信	c=1 d=5.45128e-10 t=228098
qing xing 	情形	c=1 d=2.28282e-93 t=228098
qing xing 	慶幸	c=1 d=1 t=201766
qing xuan ze 	請選擇	c=1 d=1.08983e-12 t=228098
qing yi 	輕易	c=4 d=0.0139818 t=228098
qing yin 	輕音	c=1 d=1 t=226129
qing yin yue 	輕音樂	c=5 d=3.91496e-09 t=228098
qing ying 	輕盈	c=1 d=2.46036e-33 t=228098
qing zai 	請在	c=1 d=1.95957e-32 t=228098
qing zheng yu 	清蒸魚	c=1 d=1.6794e-11 t=228098
qing zhu 	傾注	c=4 d=0.0232837 t=228098
qiong 	窮	c=3 d=0.398519 t=228098
qiong ju 	窮舉	c=2 d=2.61553e-76 t=228098
qiu 	求	c=6 d=0.00852289 t=228098
qiu 	球	c=2 d=0.718924 t=228098
qiu 	秋	c=12 d=7.81348e-10 t=228098
qiu ge 	秋哥	c=16 d=4.56819e-19 t=228098
qiu jin 	囚禁	c=1 d=7.70371e-20 t=228098
qiu jin 	秋瑾	c=1 d=6.76229e-16 t=228098
qiu ke pu 	求科普	c=1 d=1 t=227093
qiu qiu 	求求	c=1 d=2.42249e-27 t=228098
qiu qiu 	球球	c=1 d=2.1232e-05 t=228098
qiu qu 	求取	c=3 d=9.28375e-10 t=228098
qiu xing 	球星	c=1 d=0.00136037 t=228098
qiu xue 	求學	c=1 d=7.49028e-13 t=228098
qiu yuan 	球員	c=3 d=0.00459447 t=228098
qiu zhu 	求助	c=3 d=1.53141e-14 t=228098
qiu zu 	求組	c=1 d=1 t=226081
qu 	區	c=12 d=0.0974076 t=228098
qu 	去	c=614 d=1.35942 t=228098
qu 	取	c=39 d=0.0391639 t=228098
qu 	曲	c=1 d=4.46161e-06 t=228098
qu 	趣	c=0 d=4.14756e-60 t=228098
qu a ning 	去啊寧	c=1 d=1.26793e-28 t=228098
qu ai 	去愛	c=0 d=3.55252e-91 t=228098
qu bie 	區別	c=19 d=0.000518277 t=228098
qu bu le 	去不了	c=1 d=1.6341e-101 t=228098
qu chang bu duan 	取長補短	c=1 d=3.34667e-123 t=228098
qu chi fan 	去喫飯	c=1 d=1.17627e-57 t=228098
qu chu 	去除	c=4 d=0.07502 t=228098
qu chu 	取出	c=3 d=3.95912e-12 t=228098
qu chu lai 	取出來	c=3 d=6.16956e-25 t=228098
qu da 	去打	c=1 d=5.54444e-121 t=228098
qu dai 	取代	c=2 d=1.51514e-06 t=228098
qu dao 	取到	c=5 d=0.26054 t=228098
qu dao 	渠道	c=4 d=1.38351e-25 t=228098
qu dao hou 	取到後	c=1 d=1 t=216651
qu diao 	去掉	c=70 d=0.0690734 t=228098
qu ding 	驅丁	c=2 d=1.76641e-17 t=228098
qu dong 	驅動	c=2 d=0.00794669 t=228098
qu du 	曲度	c=1 d=1.96351e-85 t=228098
qu ei de na ge 	去誒的那個	c=1 d=6.07525e-79 t=228098
qu er ne 	去而呢	c=2 d=6.69159e-10 t=228098
qu fen 	區分	c=43 d=0.360595 t=228098
qu guo 	去過	c=10 d=0.0254765 t=228098
qu huo 	去火	c=1 d=4.0424e-51 t=228098
qu huo 	取貨	c=1 d=4.00218e-51 t=228098
qu jian 	區間	c=7 d=0.0522962 t=228098
qu jing 	取經	c=1 d=2.71654e-110 t=228098
qu jue 	取決	c=4 d=0.00375375 t=228098
qu jue yu 	取決於	c=1 d=2.62632e-95 t=228098
qu kuai 	區塊	c=0 d=1.9344e-28 t=228098
qu kuai lian 	區塊臉	c=2 d=3.94741e-27 t=228098
qu mian 	曲面	c=1 d=5.81541e-06 t=228098
qu na li 	去哪裏	c=6 d=3.38532e-07 t=228098
qu ni gan chu 	去你感觸	c=1 d=2.21536e-93 t=228098
qu nian 	去年	c=11 d=0.00256704 t=228098
qu nian jiu you 	去年就有	c=1 d=3.62417e-119 t=228098
qu pian 	去片	c=1 d=1.14824e-38 t=228098
qu qi 	取其	c=0 d=7.62446e-17 t=228098
qu qi nei bu 	取其內部	c=1 d=7.66268e-16 t=228098
qu qu 	去取	c=0 d=0.0790571 t=228098
qu qu nian xian 	去取年限	c=1 d=0.794534 t=228098
qu ren 	去任	c=3 d=6.35617e-54 t=228098
qu she zhi 	去設置	c=1 d=0.0430669 t=228098
qu shi 	趨勢	c=1 d=1 t=211568
qu xia 	取下	c=1 d=3.24974e-42 t=228098
qu xian 	曲線	c=37 d=0.00104891 t=228098
qu xiao 	取消	c=23 d=0.660387 t=228098
qu yao 	取藥	c=2 d=1.05717e-08 t=228098
qu yi lai 	去依賴	c=1 d=5.27275e-30 t=228098
qu yu 	區域	c=13 d=0.00329615 t=228098
qu zhao ni 	去找你	c=1 d=1.09284e-15 t=228098
qu zheng 	取整	c=4 d=2.31394e-10 t=228098
qu zhi 	取值	c=11 d=4.76125e-06 t=228098
qu zhi 	屈直	c=92 d=0.428261 t=228098
qu zhi dao 	去知道	c=1 d=1 t=197050
qu zuo 	屈座	c=3 d=2.3975e-52 t=228098
qu zuo fan 	去做飯	c=1 d=5.28011e-17 t=228098
quan 	全	c=18 d=0.408612 t=228098
quan 	券	c=1 d=4.06626e-32 t=228098
quan 	圈	c=3 d=0.00775048 t=228098
quan 	權	c=1 d=3.65224e-05 t=228098
quan bu 	全部	c=63 d=0.128093 t=228098
quan bu shi 	全部是	c=1 d=7.59677e-32 t=228098
quan cheng 	全程	c=1 d=2.24929e-66 t=228098
quan chu 	全出	c=1 d=0.00023056 t=228098
quan chu lai 	全出來	c=1 d=3.59652e-29 t=228098
quan chu lai 	圈楚來	c=1 d=0.000231716 t=228098
quan da 	拳打	c=1 d=1.6311e-50 t=228098
quan dao 	全倒	c=1 d=1.60136e-10 t=228098
